epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5481,2.66639,3.6993,2.67925,0.02022,0.375,0.0496,0.0143,2.17832,3.69172,2.08809,2.222e-05,2.222e-05,2.222e-05
2,17.2959,2.30638,3.54644,2.15033,0.053,0.375,0.10228,0.04012,1.9115,3.65635,1.85685,5.50001e-05,5.50001e-05,5.50001e-05
3,21.7265,1.99705,3.44287,1.91955,0.12878,0.4375,0.21399,0.12535,1.5525,3.53502,1.52278,8.71202e-05,8.71202e-05,8.71202e-05
4,25.8333,1.86194,3.44666,1.87895,0.25491,0.6875,0.38587,0.28612,1.20802,3.45632,1.29214,0.00011858,0.00011858,0.00011858
5,29.8591,1.3593,3.36544,1.46566,0.08838,0.75,0.40362,0.2537,1.2969,3.46335,1.30196,0.000149381,0.000149381,0.000149381
6,33.9467,1.29872,3.3389,1.44566,0.07662,0.75,0.41747,0.27036,1.27018,3.40475,1.19829,0.000179521,0.000179521,0.000179521
7,38.0319,1.43377,3.27647,1.72239,0.05312,0.75,0.40735,0.29898,1.17534,3.34953,1.09796,0.000209001,0.000209001,0.000209001
8,42.479,1.17193,3.07552,1.3346,0.051,0.75,0.37136,0.28427,1.09457,3.32547,1.04966,0.000237822,0.000237822,0.000237822
9,46.628,1.22399,2.99263,1.43004,0.09035,0.8125,0.43358,0.32649,1.14527,3.31546,1.06743,0.000265982,0.000265982,0.000265982
10,50.617,1.12501,2.7251,1.31489,0.12181,1,0.60548,0.4079,1.18606,3.31101,1.09567,0.000293483,0.000293483,0.000293483
11,54.6321,1.12669,2.58527,1.34387,0.07745,1,0.82995,0.55435,1.1919,3.26447,1.14158,0.000320324,0.000320324,0.000320324
12,58.8867,1.16008,2.40952,1.40946,0.06943,1,0.80576,0.53588,1.12042,3.23897,1.10313,0.000346504,0.000346504,0.000346504
13,63.4415,1.11687,2.23734,1.38686,0.05864,1,0.78145,0.54117,1.07799,3.19744,1.09121,0.000372025,0.000372025,0.000372025
14,67.475,1.3584,2.18112,1.63728,0.05579,1,0.82015,0.55692,1.05189,3.18024,1.0681,0.000396886,0.000396886,0.000396886
15,71.4772,1.32441,2.18066,1.62603,0.04795,1,0.82359,0.51164,1.15926,3.0978,1.13337,0.000421087,0.000421087,0.000421087
16,75.62,1.32681,1.84104,1.56586,0.04684,1,0.85191,0.46386,1.2049,3.05352,1.16184,0.000444628,0.000444628,0.000444628
17,79.5203,1.35707,1.82855,1.56082,1,0.54773,0.86464,0.48645,1.26783,2.95852,1.20353,0.000467509,0.000467509,0.000467509
18,83.4346,1.34468,1.77658,1.69834,1,0.2024,0.91018,0.53285,1.29013,2.89362,1.3187,0.00048973,0.00048973,0.00048973
19,87.4452,1.34646,1.65167,1.70105,1,0.30103,0.91688,0.53663,1.2876,2.86376,1.36194,0.000511291,0.000511291,0.000511291
20,91.3512,1.29485,1.60462,1.72659,1,0.33334,0.9134,0.54644,1.3556,2.80395,1.39141,0.000532192,0.000532192,0.000532192
21,95.4128,1.59812,1.6426,1.75648,1,0.5008,0.9134,0.58942,1.29439,2.75703,1.31199,0.000552434,0.000552434,0.000552434
22,99.3873,1.20655,1.425,1.53499,0.96205,0.39909,0.80502,0.53358,1.24235,2.82824,1.26159,0.000572015,0.000572015,0.000572015
23,103.327,1.15571,1.44436,1.48604,0.94877,0.50239,0.81437,0.55665,1.17138,2.75164,1.21282,0.000590936,0.000590936,0.000590936
24,107.299,1.12605,1.32089,1.46463,0.93838,0.54713,0.88283,0.6005,1.19768,2.53446,1.23208,0.000609198,0.000609198,0.000609198
25,111.292,1.15167,1.40047,1.4976,0.89775,0.676,0.92,0.60407,1.21113,2.32291,1.25972,0.0006268,0.0006268,0.0006268
26,115.233,1.12843,1.31952,1.50279,0.85931,0.6875,0.88938,0.59945,1.17974,2.27047,1.28536,0.000643741,0.000643741,0.000643741
